Date,Close_Com60,Close_Com120,Close_Com240,K_Open,K_High,K_Low,K_Close
1996-08-28,663.055488,653.380249,621.372149,675.676528,681.409973,675.676528,679.232483
1996-08-29,662.762746,653.884757,621.711364,677.454506,679.669983,675.194992,675.194992
1996-08-30,662.294681,654.473773,622.010703,676.324749,676.324749,667.674988,667.674988
1996-09-03,661.809842,654.996806,622.29281,671.999868,671.999868,663.187484,663.187484
1996-09-04,661.522584,655.572052,622.565578,667.593676,672.340027,667.593676,669.270004
1996-09-05,660.891293,655.880002,622.803058,668.43184,669.200012,660.752502,660.752502
1996-09-06,660.494196,656.319838,623.098843,664.592171,666.880005,658.934998,658.934998
1996-09-09,660.188389,656.731887,623.446157,661.763584,672.090027,661.763584,667.955002
1996-09-10,659.776938,657.046559,623.821694,664.859293,674.450012,664.859293,671.032501
1996-09-11,659.50726,657.421395,624.230372,667.945897,676.5,667.945897,672.325012
1996-09-12,659.580164,657.998363,624.603141,670.135454,687.400024,670.135454,680.725006
1996-09-13,660.05468,658.788116,625.110496,675.43023,707.909973,675.43023,696.767502
1996-09-16,660.750647,659.577788,625.669793,686.098866,715.849976,686.098866,709.894989
1996-09-17,661.634196,660.599755,626.286901,697.996928,724.200012,697.996928,716.284988
1996-09-18,662.653228,661.628854,626.98376,707.140958,735.679993,707.140958,725.632492
1996-09-19,663.689195,662.683772,627.661488,716.386725,738.440002,716.386725,732.012497
1996-09-20,664.757744,663.793116,628.38876,724.199611,745.599976,724.199611,739.734985
1996-09-23,665.812098,664.807214,629.159339,731.967298,743.419983,731.967298,737.887482
1996-09-24,667.052743,665.820493,629.927314,734.92739,741.349976,734.92739,735.73999
1996-09-25,668.255001,666.885083,630.676735,735.33369,746.090027,735.33369,741.240021
1996-09-26,669.340646,667.918197,631.385454,738.286856,757.830017,738.286856,747.434997
1996-09-27,670.270646,668.956968,632.107479,742.860926,747.429993,742.860926,744.42749
1996-09-30,671.196452,669.997624,632.806281,743.644208,748.869995,742.077499,742.077499
1996-10-01,672.174839,671.009427,633.405744,742.860854,742.860854,734.795013,734.795013
1996-10-02,673.624355,672.144181,634.023843,738.827934,749.940002,738.827934,741.622498
1996-10-03,675.032098,673.285247,634.610702,740.225216,752.059998,740.225216,746.542511
1996-10-04,676.618549,674.548116,635.301777,743.383864,759.130005,743.383864,751.202515
1996-10-07,678.350323,675.80828,636.010661,747.293189,765.580017,747.293189,761.832504
1996-10-08,680.244839,676.851722,636.667727,754.562846,770.73999,754.562846,760.472504
1996-10-09,682.162741,677.944017,637.368719,757.517675,763.840027,755.300003,755.300003
1996-10-10,684.494193,678.91123,638.066942,756.408839,760.059998,753.642487,753.642487
1996-10-11,686.935967,679.998361,638.77814,755.025663,765.700012,755.025663,758.555008
1996-10-14,689.205161,681.045082,639.459504,756.790336,772.849976,756.790336,768.949997
1996-10-15,691.323548,682.033525,640.188016,762.870167,794.080017,762.870167,777.865006
1996-10-16,693.494355,682.882952,640.876983,770.367586,775.080017,770.042511,770.042511
1996-10-17,695.619677,683.613443,641.460082,770.205048,772.960022,763.050003,763.050003
1996-10-18,698.175967,684.352624,642.01843,766.627526,766.627526,755.672501,755.672501
1996-10-21,700.453871,685.00246,642.557934,761.150014,764.640015,752.725021,752.725021
1996-10-22,702.328871,685.575493,643.138141,756.937518,756.937518,740.032501,740.032501
1996-10-23,704.204839,686.201231,643.762025,748.485009,750.590027,742.390015,742.390015
1996-10-24,706.267742,686.952706,644.305248,745.437512,760.049988,745.437512,751.354996
1996-10-25,708.094032,687.628772,644.84219,748.396254,754.099976,747.352478,747.352478
1996-10-28,709.797741,688.273936,645.393099,747.874366,753.190002,744.927506,744.927506
1996-10-29,711.090322,688.850903,645.96967,746.400936,749.039978,738.085007,738.085007
1996-10-30,712.195483,689.44787,646.560083,742.242972,742.26001,735.26001,735.26001
1996-10-31,713.66274,690.181067,647.222438,738.751491,752.630005,738.751491,744.334991
1996-11-01,715.014676,690.861149,647.911281,741.543241,760.130005,741.543241,754.149994
1996-11-04,716.205966,691.416149,648.673926,747.846618,758.5,747.846618,755.422501
1996-11-05,717.696127,692.02664,649.482562,751.63456,774.030029,751.63456,764.09999
1996-11-06,719.447579,692.819592,650.38281,757.867275,786.940002,757.867275,777.705017
1996-11-07,721.31903,693.640657,651.279918,767.786146,800.869995,767.786146,792.067505
1996-11-08,723.408707,694.524673,652.208637,779.926826,798.849976,779.926826,795.187485
1996-11-11,725.465965,695.438197,653.062852,787.557156,804.97998,787.557156,801.007477
1996-11-12,727.353062,696.308935,653.866612,794.282316,810.780029,794.282316,800.655014
1996-11-13,729.392094,697.212788,654.713637,797.468665,801.219971,796.029999,796.029999
1996-11-14,731.642094,698.177214,655.634009,796.749332,810.25,796.749332,803.580002
1996-11-15,733.844836,699.083198,656.466405,800.164667,814.309998,800.164667,804.399994
1996-11-18,735.874997,699.970247,657.301364,802.28233,802.28233,795.369995,795.369995
1996-11-19,737.877417,701.025083,658.1931,798.826162,806.219971,798.826162,799.134994
1996-11-20,739.987417,702.044346,659.107397,798.980578,819.049988,798.980578,809.575012
1996-11-21,742.044675,702.930247,659.938348,804.277795,812.590027,804.277795,804.897507
1996-11-22,744.291772,703.988607,660.856777,804.587651,818.659973,804.587651,809.492478
1996-11-25,746.575159,705.043115,661.832811,807.040064,822.22998,807.040064,818.959991
